2026-08-09 19:08:30,316 WARNING Missing checkpoint keys after tied-weight load: ['language_model.model.encoder.embed_tokens.weight', 'language_model.model.decoder.embed_tokens.weight', 'language_model.lm_head.weight']
2026-08-09 19:08:30,537 INFO parameter groups: {'vision': {'tensors': 400, 'parameters': 90368000}, 'projection': {'tensors': 5, 'parameters': 839168}, 'language': {'tensors': 259, 'parameters': 140206848}}
2026-08-09 19:13:21,405 INFO epoch=1 step=210/1454 loss=1.558551 grad_norm=7.0939 lr=[9.783220635921007e-07, 9.783220635921007e-07, 4.891610317960504e-07, 4.891610317960504e-07, 9.783220635921007e-08, 9.783220635921007e-08]
2026-08-09 19:13:25,895 INFO epoch=1 step=220/1454 loss=1.853793 grad_norm=7.5264 lr=[9.750725048772868e-07, 9.750725048772868e-07, 4.875362524386434e-07, 4.875362524386434e-07, 9.750725048772869e-08, 9.750725048772869e-08]
2026-08-09 19:13:33,943 INFO epoch=1 step=230/1454 loss=1.789707 grad_norm=8.8277 lr=[9.716029795972493e-07, 9.716029795972493e-07, 4.858014897986247e-07, 4.858014897986247e-07, 9.716029795972492e-08, 9.716029795972492e-08]
2026-08-09 19:13:38,350 INFO epoch=1 step=240/1454 loss=1.743675 grad_norm=6.7418 lr=[9.679152831623001e-07, 9.679152831623001e-07, 4.839576415811501e-07, 4.839576415811501e-07, 9.679152831623002e-08, 9.679152831623002e-08]
2026-08-09 19:13:42,702 INFO epoch=1 step=250/1454 loss=1.710135 grad_norm=6.7049 lr=[9.640113238819848e-07, 9.640113238819848e-07, 4.820056619409924e-07, 4.820056619409924e-07, 9.640113238819848e-08, 9.640113238819848e-08]
2026-08-09 19:13:47,043 INFO epoch=1 step=260/1454 loss=1.836389 grad_norm=8.1956 lr=[9.598931219775684e-07, 9.598931219775684e-07, 4.799465609887842e-07, 4.799465609887842e-07, 9.598931219775684e-08, 9.598931219775684e-08]
2026-08-09 19:13:51,720 INFO epoch=1 step=270/1454 loss=1.561781 grad_norm=6.7581 lr=[9.555628085366123e-07, 9.555628085366123e-07, 4.777814042683061e-07, 4.777814042683061e-07, 9.555628085366123e-08, 9.555628085366123e-08]
2026-08-09 19:13:56,080 INFO epoch=1 step=280/1454 loss=1.758634 grad_norm=8.5213 lr=[9.510226244101784e-07, 9.510226244101784e-07, 4.755113122050892e-07, 4.755113122050892e-07, 9.510226244101784e-08, 9.510226244101784e-08]
2026-08-09 19:14:00,510 INFO epoch=1 step=290/1454 loss=1.789559 grad_norm=7.4760 lr=[9.462749190532333e-07, 9.462749190532333e-07, 4.7313745952661664e-07, 4.7313745952661664e-07, 9.462749190532333e-08, 9.462749190532333e-08]
2026-08-09 19:14:05,061 INFO epoch=1 step=300/1454 loss=1.800808 grad_norm=7.7987 lr=[9.413221493088524e-07, 9.413221493088524e-07, 4.706610746544262e-07, 4.706610746544262e-07, 9.413221493088525e-08, 9.413221493088525e-08]
2026-08-09 19:15:51,312 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 22.3359375, 'p95_words': 30, 'length_18_24_ratio': 0.5703125, 'single_sentence_ratio': 1.0, 'subject_start_ratio': 1.0, 'dev_loss': 1.6586345495472887, 'global_step': 300}
2026-08-09 19:16:01,507 INFO epoch=1 step=310/1454 loss=1.825758 grad_norm=8.5835 lr=[9.361668781368519e-07, 9.361668781368519e-07, 4.6808343906842594e-07, 4.6808343906842594e-07, 9.36166878136852e-08, 9.36166878136852e-08]
2026-08-09 19:16:05,887 INFO epoch=1 step=320/1454 loss=1.566123 grad_norm=7.5226 lr=[9.308117732875085e-07, 9.308117732875085e-07, 4.6540588664375424e-07, 4.6540588664375424e-07, 9.308117732875084e-08, 9.308117732875084e-08]
2026-08-09 19:16:12,979 INFO epoch=1 step=330/1454 loss=1.744160 grad_norm=7.8925 lr=[9.252596059210514e-07, 9.252596059210514e-07, 4.626298029605257e-07, 4.626298029605257e-07, 9.252596059210515e-08, 9.252596059210515e-08]
2026-08-09 19:16:17,549 INFO epoch=1 step=340/1454 loss=1.675387 grad_norm=8.9370 lr=[9.195132491736429e-07, 9.195132491736429e-07, 4.597566245868214e-07, 4.597566245868214e-07, 9.195132491736429e-08, 9.195132491736429e-08]
2026-08-09 19:16:24,295 INFO epoch=1 step=350/1454 loss=1.637913 grad_norm=10.8485 lr=[9.135756766705859e-07, 9.135756766705859e-07, 4.5678783833529296e-07, 4.5678783833529296e-07, 9.135756766705858e-08, 9.135756766705858e-08]
2026-08-09 19:16:30,956 INFO epoch=1 step=360/1454 loss=1.889603 grad_norm=7.7818 lr=[9.074499609875334e-07, 9.074499609875334e-07, 4.537249804937667e-07, 4.537249804937667e-07, 9.074499609875334e-08, 9.074499609875334e-08]
2026-08-09 19:16:35,431 INFO epoch=1 step=370/1454 loss=1.555496 grad_norm=9.0945 lr=[9.011392720604919e-07, 9.011392720604919e-07, 4.5056963603024595e-07, 4.5056963603024595e-07, 9.011392720604919e-08, 9.011392720604919e-08]
2026-08-09 19:16:39,994 INFO epoch=1 step=380/1454 loss=1.768213 grad_norm=6.5406 lr=[8.946468755454408e-07, 8.946468755454408e-07, 4.473234377727204e-07, 4.473234377727204e-07, 8.946468755454408e-08, 8.946468755454408e-08]
2026-08-09 19:16:44,550 INFO epoch=1 step=390/1454 loss=1.703362 grad_norm=7.2152 lr=[8.879761311284225e-07, 8.879761311284225e-07, 4.4398806556421126e-07, 4.4398806556421126e-07, 8.879761311284226e-08, 8.879761311284226e-08]
2026-08-09 19:16:48,994 INFO epoch=1 step=400/1454 loss=2.048611 grad_norm=7.9747 lr=[8.811304907869701e-07, 8.811304907869701e-07, 4.4056524539348507e-07, 4.4056524539348507e-07, 8.8113049078697e-08, 8.8113049078697e-08]
2026-08-09 19:18:28,423 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 22.6640625, 'p95_words': 30, 'length_18_24_ratio': 0.578125, 'single_sentence_ratio': 1.0, 'subject_start_ratio': 1.0, 'dev_loss': 1.614048933656351, 'global_step': 400}
2026-08-09 19:18:36,120 INFO epoch=1 step=410/1454 loss=1.624439 grad_norm=7.2799 lr=[8.741134970037789e-07, 8.741134970037789e-07, 4.3705674850188945e-07, 4.3705674850188945e-07, 8.741134970037788e-08, 8.741134970037788e-08]
2026-08-09 19:18:44,830 INFO epoch=1 step=420/1454 loss=1.470321 grad_norm=7.7954 lr=[8.669287809335412e-07, 8.669287809335412e-07, 4.334643904667706e-07, 4.334643904667706e-07, 8.669287809335411e-08, 8.669287809335411e-08]
2026-08-09 19:18:49,413 INFO epoch=1 step=430/1454 loss=1.508400 grad_norm=10.3659 lr=[8.595800605238962e-07, 8.595800605238962e-07, 4.297900302619481e-07, 4.297900302619481e-07, 8.595800605238963e-08, 8.595800605238963e-08]
2026-08-09 19:18:53,741 INFO epoch=1 step=440/1454 loss=1.990786 grad_norm=8.2376 lr=[8.520711385914665e-07, 8.520711385914665e-07, 4.2603556929573323e-07, 4.2603556929573323e-07, 8.520711385914665e-08, 8.520711385914665e-08]
2026-08-09 19:18:58,118 INFO epoch=1 step=450/1454 loss=1.515507 grad_norm=8.5041 lr=[8.444059008539757e-07, 8.444059008539757e-07, 4.2220295042698784e-07, 4.2220295042698784e-07, 8.444059008539757e-08, 8.444059008539757e-08]
2026-08-09 19:19:02,453 INFO epoch=1 step=460/1454 loss=1.766608 grad_norm=9.4982 lr=[8.365883139194669e-07, 8.365883139194669e-07, 4.1829415695973344e-07, 4.1829415695973344e-07, 8.36588313919467e-08, 8.36588313919467e-08]
2026-08-09 19:19:06,795 INFO epoch=1 step=470/1454 loss=1.758757 grad_norm=7.7194 lr=[8.28622423233662e-07, 8.28622423233662e-07, 4.14311211616831e-07, 4.14311211616831e-07, 8.28622423233662e-08, 8.28622423233662e-08]
2026-08-09 19:19:11,337 INFO epoch=1 step=480/1454 loss=1.724307 grad_norm=7.0350 lr=[8.205123509865238e-07, 8.205123509865238e-07, 4.102561754932619e-07, 4.102561754932619e-07, 8.205123509865238e-08, 8.205123509865238e-08]
2026-08-09 19:19:15,703 INFO epoch=1 step=490/1454 loss=1.674395 grad_norm=6.8684 lr=[8.122622939791049e-07, 8.122622939791049e-07, 4.0613114698955246e-07, 4.0613114698955246e-07, 8.12262293979105e-08, 8.12262293979105e-08]
2026-08-09 19:19:20,251 INFO epoch=1 step=500/1454 loss=1.836702 grad_norm=7.4996 lr=[8.038765214517868e-07, 8.038765214517868e-07, 4.019382607258934e-07, 4.019382607258934e-07, 8.038765214517868e-08, 8.038765214517868e-08]
2026-08-09 19:21:00,979 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 21.2890625, 'p95_words': 29, 'length_18_24_ratio': 0.6015625, 'single_sentence_ratio': 1.0, 'subject_start_ratio': 1.0, 'dev_loss': 1.584538142947199, 'global_step': 500}
2026-08-09 19:21:08,505 INFO epoch=1 step=510/1454 loss=1.643042 grad_norm=6.8852 lr=[7.953593728750325e-07, 7.953593728750325e-07, 3.9767968643751626e-07, 3.9767968643751626e-07, 7.953593728750325e-08, 7.953593728750325e-08]
2026-08-09 19:21:17,268 INFO epoch=1 step=520/1454 loss=1.474452 grad_norm=8.8209 lr=[7.86715255703797e-07, 7.86715255703797e-07, 3.933576278518985e-07, 3.933576278518985e-07, 7.867152557037971e-08, 7.867152557037971e-08]
2026-08-09 19:21:21,670 INFO epoch=1 step=530/1454 loss=1.780215 grad_norm=7.7224 lr=[7.779486430967576e-07, 7.779486430967576e-07, 3.889743215483788e-07, 3.889743215483788e-07, 7.779486430967576e-08, 7.779486430967576e-08]
2026-08-09 19:21:25,998 INFO epoch=1 step=540/1454 loss=1.524742 grad_norm=7.9400 lr=[7.690640716015422e-07, 7.690640716015422e-07, 3.845320358007711e-07, 3.845320358007711e-07, 7.690640716015422e-08, 7.690640716015422e-08]
2026-08-09 19:21:30,343 INFO epoch=1 step=550/1454 loss=1.486372 grad_norm=8.0539 lr=[7.600661388071575e-07, 7.600661388071575e-07, 3.8003306940357876e-07, 3.8003306940357876e-07, 7.600661388071575e-08, 7.600661388071575e-08]
2026-08-09 19:21:34,680 INFO epoch=1 step=560/1454 loss=1.729226 grad_norm=6.6803 lr=[7.509595009648266e-07, 7.509595009648266e-07, 3.754797504824133e-07, 3.754797504824133e-07, 7.509595009648265e-08, 7.509595009648265e-08]
2026-08-09 19:21:39,039 INFO epoch=1 step=570/1454 loss=1.619700 grad_norm=8.1630 lr=[7.41748870578473e-07, 7.41748870578473e-07, 3.708744352892365e-07, 3.708744352892365e-07, 7.41748870578473e-08, 7.41748870578473e-08]
2026-08-09 19:21:43,462 INFO epoch=1 step=580/1454 loss=1.934339 grad_norm=7.2094 lr=[7.324390139660924e-07, 7.324390139660924e-07, 3.662195069830462e-07, 3.662195069830462e-07, 7.324390139660923e-08, 7.324390139660923e-08]
2026-08-09 19:21:47,877 INFO epoch=1 step=590/1454 loss=1.489201 grad_norm=7.4732 lr=[7.230347487932793e-07, 7.230347487932793e-07, 3.6151737439663967e-07, 3.6151737439663967e-07, 7.230347487932793e-08, 7.230347487932793e-08]
2026-08-09 19:21:52,278 INFO epoch=1 step=600/1454 loss=1.504280 grad_norm=7.2920 lr=[7.135409415801797e-07, 7.135409415801797e-07, 3.5677047079008983e-07, 3.5677047079008983e-07, 7.135409415801797e-08, 7.135409415801797e-08]
2026-08-09 19:23:34,544 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 21.921875, 'p95_words': 30, 'length_18_24_ratio': 0.6015625, 'single_sentence_ratio': 1.0, 'subject_start_ratio': 1.0, 'dev_loss': 1.561129720391541, 'global_step': 600}
2026-08-09 19:23:41,986 INFO epoch=1 step=610/1454 loss=1.431721 grad_norm=7.1280 lr=[7.03962505183164e-07, 7.03962505183164e-07, 3.51981252591582e-07, 3.51981252591582e-07, 7.03962505183164e-08, 7.03962505183164e-08]
2026-08-09 19:23:47,191 INFO epoch=1 step=620/1454 loss=1.591977 grad_norm=7.2131 lr=[6.943043962525221e-07, 6.943043962525221e-07, 3.471521981262611e-07, 3.471521981262611e-07, 6.943043962525222e-08, 6.943043962525222e-08]
2026-08-09 19:23:54,536 INFO epoch=1 step=630/1454 loss=1.647719 grad_norm=7.5823 lr=[6.845716126674952e-07, 6.845716126674952e-07, 3.422858063337476e-07, 3.422858063337476e-07, 6.845716126674953e-08, 6.845716126674953e-08]
2026-08-09 19:23:58,947 INFO epoch=1 step=640/1454 loss=1.762312 grad_norm=7.1523 lr=[6.74769190949972e-07, 6.74769190949972e-07, 3.37384595474986e-07, 3.37384595474986e-07, 6.747691909499721e-08, 6.747691909499721e-08]
2026-08-09 19:24:03,900 INFO epoch=1 step=650/1454 loss=1.308639 grad_norm=8.7482 lr=[6.6490220365819e-07, 6.6490220365819e-07, 3.32451101829095e-07, 3.32451101829095e-07, 6.649022036581901e-08, 6.649022036581901e-08]
2026-08-09 19:24:08,432 INFO epoch=1 step=660/1454 loss=1.647443 grad_norm=7.3423 lr=[6.549757567617869e-07, 6.549757567617869e-07, 3.2748787838089347e-07, 3.2748787838089347e-07, 6.54975756761787e-08, 6.54975756761787e-08]
