2026-08-07 09:33:30,246 WARNING Missing checkpoint keys after tied-weight load: ['language_model.model.encoder.embed_tokens.weight', 'language_model.model.decoder.embed_tokens.weight', 'language_model.lm_head.weight']
2026-08-07 09:33:30,614 INFO parameter groups: {'vision': {'tensors': 400, 'parameters': 90368000}, 'projection': {'tensors': 5, 'parameters': 839168}, 'language': {'tensors': 259, 'parameters': 140206848}}
2026-08-07 09:39:23,962 INFO epoch=1 step=210/1454 loss=1.620973 grad_norm=7.3449 lr=[9.783220635921007e-07, 9.783220635921007e-07, 4.891610317960504e-07, 4.891610317960504e-07, 9.783220635921007e-08, 9.783220635921007e-08]
2026-08-07 09:39:32,758 INFO epoch=1 step=220/1454 loss=1.632550 grad_norm=8.3553 lr=[9.750725048772868e-07, 9.750725048772868e-07, 4.875362524386434e-07, 4.875362524386434e-07, 9.750725048772869e-08, 9.750725048772869e-08]
2026-08-07 09:39:37,350 INFO epoch=1 step=230/1454 loss=1.585379 grad_norm=7.0118 lr=[9.716029795972493e-07, 9.716029795972493e-07, 4.858014897986247e-07, 4.858014897986247e-07, 9.716029795972492e-08, 9.716029795972492e-08]
2026-08-07 09:39:42,055 INFO epoch=1 step=240/1454 loss=1.893412 grad_norm=7.1001 lr=[9.679152831623001e-07, 9.679152831623001e-07, 4.839576415811501e-07, 4.839576415811501e-07, 9.679152831623002e-08, 9.679152831623002e-08]
2026-08-07 09:39:46,814 INFO epoch=1 step=250/1454 loss=1.510467 grad_norm=6.1963 lr=[9.640113238819848e-07, 9.640113238819848e-07, 4.820056619409924e-07, 4.820056619409924e-07, 9.640113238819848e-08, 9.640113238819848e-08]
2026-08-07 09:39:51,203 INFO epoch=1 step=260/1454 loss=1.614036 grad_norm=7.8110 lr=[9.598931219775684e-07, 9.598931219775684e-07, 4.799465609887842e-07, 4.799465609887842e-07, 9.598931219775684e-08, 9.598931219775684e-08]
2026-08-07 09:39:55,526 INFO epoch=1 step=270/1454 loss=1.552556 grad_norm=7.6469 lr=[9.555628085366123e-07, 9.555628085366123e-07, 4.777814042683061e-07, 4.777814042683061e-07, 9.555628085366123e-08, 9.555628085366123e-08]
2026-08-07 09:40:00,236 INFO epoch=1 step=280/1454 loss=1.601629 grad_norm=7.2369 lr=[9.510226244101784e-07, 9.510226244101784e-07, 4.755113122050892e-07, 4.755113122050892e-07, 9.510226244101784e-08, 9.510226244101784e-08]
2026-08-07 09:40:04,575 INFO epoch=1 step=290/1454 loss=1.901535 grad_norm=6.4230 lr=[9.462749190532333e-07, 9.462749190532333e-07, 4.7313745952661664e-07, 4.7313745952661664e-07, 9.462749190532333e-08, 9.462749190532333e-08]
2026-08-07 09:40:08,874 INFO epoch=1 step=300/1454 loss=1.831136 grad_norm=8.2138 lr=[9.413221493088524e-07, 9.413221493088524e-07, 4.706610746544262e-07, 4.706610746544262e-07, 9.413221493088525e-08, 9.413221493088525e-08]
2026-08-07 09:41:56,129 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 21.6875, 'p95_words': 29, 'length_18_24_ratio': 0.6328125, 'single_sentence_ratio': 1.0, 'subject_start_ratio': 1.0, 'dev_loss': 1.6566691759644803, 'global_step': 300}
2026-08-07 09:42:03,842 INFO epoch=1 step=310/1454 loss=1.650703 grad_norm=8.3283 lr=[9.361668781368519e-07, 9.361668781368519e-07, 4.6808343906842594e-07, 4.6808343906842594e-07, 9.36166878136852e-08, 9.36166878136852e-08]
