2026-08-06 18:52:06,599 WARNING Missing checkpoint keys after tied-weight load: ['language_model.model.encoder.embed_tokens.weight', 'language_model.model.decoder.embed_tokens.weight', 'language_model.lm_head.weight']
2026-08-06 18:52:06,820 INFO parameter groups: {'vision': {'tensors': 400, 'parameters': 90368000}, 'projection': {'tensors': 5, 'parameters': 839168}, 'language': {'tensors': 259, 'parameters': 140206848}}
2026-08-06 18:56:53,903 INFO epoch=1 step=210/969 loss=1.614918 grad_norm=6.3845 lr=[9.336880739593415e-07, 9.336880739593415e-07, 4.6684403697967073e-07, 4.6684403697967073e-07, 9.336880739593415e-08, 9.336880739593415e-08]
2026-08-06 18:57:02,707 INFO epoch=1 step=220/969 loss=1.629191 grad_norm=6.7590 lr=[9.254369859123676e-07, 9.254369859123676e-07, 4.627184929561838e-07, 4.627184929561838e-07, 9.254369859123677e-08, 9.254369859123677e-08]
2026-08-06 18:57:06,988 INFO epoch=1 step=230/969 loss=1.580886 grad_norm=6.6096 lr=[9.16748155133998e-07, 9.16748155133998e-07, 4.58374077566999e-07, 4.58374077566999e-07, 9.16748155133998e-08, 9.16748155133998e-08]
2026-08-06 18:57:11,331 INFO epoch=1 step=240/969 loss=1.890766 grad_norm=6.7848 lr=[9.07631712412248e-07, 9.07631712412248e-07, 4.53815856206124e-07, 4.53815856206124e-07, 9.07631712412248e-08, 9.07631712412248e-08]
2026-08-06 18:57:15,817 INFO epoch=1 step=250/969 loss=1.509791 grad_norm=6.2875 lr=[8.980982871115317e-07, 8.980982871115317e-07, 4.490491435557659e-07, 4.490491435557659e-07, 8.980982871115319e-08, 8.980982871115319e-08]
2026-08-06 18:57:20,301 INFO epoch=1 step=260/969 loss=1.617104 grad_norm=6.8378 lr=[8.881589947792971e-07, 8.881589947792971e-07, 4.4407949738964857e-07, 4.4407949738964857e-07, 8.881589947792971e-08, 8.881589947792971e-08]
2026-08-06 18:57:24,617 INFO epoch=1 step=270/969 loss=1.550834 grad_norm=7.6503 lr=[8.778254241857957e-07, 8.778254241857957e-07, 4.3891271209289786e-07, 4.3891271209289786e-07, 8.778254241857957e-08, 8.778254241857957e-08]
2026-08-06 18:57:29,079 INFO epoch=1 step=280/969 loss=1.601858 grad_norm=14.7836 lr=[8.671096238120946e-07, 8.671096238120946e-07, 4.335548119060473e-07, 4.335548119060473e-07, 8.671096238120946e-08, 8.671096238120946e-08]
2026-08-06 18:57:33,410 INFO epoch=1 step=290/969 loss=1.898869 grad_norm=6.9785 lr=[8.560240878020868e-07, 8.560240878020868e-07, 4.280120439010434e-07, 4.280120439010434e-07, 8.560240878020868e-08, 8.560240878020868e-08]
2026-08-06 18:57:37,710 INFO epoch=1 step=300/969 loss=1.829686 grad_norm=8.4932 lr=[8.445817413948777e-07, 8.445817413948777e-07, 4.2229087069743887e-07, 4.2229087069743887e-07, 8.445817413948777e-08, 8.445817413948777e-08]
2026-08-06 18:59:20,759 INFO dev metrics: {'samples': 128, 'empty_outputs': 0, 'average_words': 21.421875, 'p95_words': 29, 'length_18_24_ratio': 0.625, 'single_sentence_ratio': 1.0, 'subject_start_ratio': 1.0, 'dev_loss': 1.6573623723276727, 'global_step': 300}
2026-08-06 18:59:28,231 INFO epoch=1 step=310/969 loss=1.651338 grad_norm=6.9214 lr=[8.32795925854535e-07, 8.32795925854535e-07, 4.163979629272675e-07, 4.163979629272675e-07, 8.327959258545351e-08, 8.327959258545351e-08]
2026-08-06 18:59:36,422 INFO epoch=1 step=320/969 loss=1.680419 grad_norm=8.3151 lr=[8.206803829147718e-07, 8.206803829147718e-07, 4.103401914573859e-07, 4.103401914573859e-07, 8.206803829147718e-08, 8.206803829147718e-08]
2026-08-06 18:59:40,820 INFO epoch=1 step=330/969 loss=1.952694 grad_norm=7.7660 lr=[8.082492387566991e-07, 8.082492387566991e-07, 4.041246193783496e-07, 4.041246193783496e-07, 8.082492387566991e-08, 8.082492387566991e-08]
2026-08-06 18:59:45,316 INFO epoch=1 step=340/969 loss=1.726370 grad_norm=7.3019 lr=[7.95516987538331e-07, 7.95516987538331e-07, 3.977584937691655e-07, 3.977584937691655e-07, 7.955169875383309e-08, 7.955169875383309e-08]
2026-08-06 18:59:49,704 INFO epoch=1 step=350/969 loss=1.589306 grad_norm=7.3354 lr=[7.824984744950445e-07, 7.824984744950445e-07, 3.9124923724752224e-07, 3.9124923724752224e-07, 7.824984744950444e-08, 7.824984744950444e-08]
2026-08-06 18:59:54,115 INFO epoch=1 step=360/969 loss=1.776628 grad_norm=8.5174 lr=[7.692088786306995e-07, 7.692088786306995e-07, 3.8460443931534973e-07, 3.8460443931534973e-07, 7.692088786306995e-08, 7.692088786306995e-08]
2026-08-06 18:59:58,431 INFO epoch=1 step=370/969 loss=1.270787 grad_norm=7.5333 lr=[7.556636950195988e-07, 7.556636950195988e-07, 3.778318475097994e-07, 3.778318475097994e-07, 7.556636950195988e-08, 7.556636950195988e-08]
